name,phone,latitude2,longitude2,addd
"FARMACIA LORRAINE,INC.",(787) 843-1838,18.2807,-67.1455,1681 PASEO VILLA FLORES
LA MARQUETA DE SAN GERMAN INC.,(787) 892-5252,18.0757,-67.0204,CARR. 102 KM 34.0
FARMACIA QUINONES,(787) 836-1042,18.0566,-66.7218,418 CALLE MUNOZ RIVERA
FARMACIA CONCORDIA,(787) 755-2240,18.3954,-66.0278,URB VILLA CAPRI 586 CALLE NAPOLES
COLMADO  Y  BARRA  LA  RUEDA,(787) 825-4285,18.0924,-66.3483,CARR 5556 KM 1 HM 4 PARCELA 93 A BO PASTO SANTA ANA
FARMACIA SANTA ANA,(787) 881-2035,18.4475,-66.6784,KM 69.8 CARR #2 BO SANTANA
SUPER FARMACIA ALEJANDRO,(787) 789-2920,18.3532,-66.1114,142 CALLE CARAZO
PANADERIA LA FRANCAISE,(787) 720-2031,18.3347,-66.0973,CARR   1 KM 20.8 DE RIO PIEDRAS A CAGUAS BO  RIO SECTOR LA MUDA
COLMADO BENIQUEZ,(787) 872-6782,18.4584,-67.0095,CARR  475  KM 1.7 ARENALES BAJOS
ROMAN CASH & CARRY,(787) 837-5875,18.0391,-66.4642,CARR  535 KM  1 BO  RIO CANAS ABAJO  60
COLMADO TORRES,(787) 896-1632,18.3027,-66.9551,CARR 435 KM 3.0 BO  CALABAZAS
SUPER FARMACIA RINA,(787) 864-3069,17.9846,-66.1162,AVE. MCARTHUR #1 GUAYAMA STA.
COLMADO SHANGAI,(787) 842-9900,18.0057,-66.3754,CALLE COLON 18 BO. CLAUSEL
VIDIMA CORP. (FARMACIA SANTA ANA),(787) 743-5935,18.2325,-66.035,39 CALLE  GAUTIER BENITEZ
SUPERMERCADO TU Y YO,(787) 861-2030,18.0078,-65.9002,C/MUNOZ RIVERA #41
COOP. GASOLINERA SAN CRISTOBAL,(787) 874-2280,18.2131,-65.7264,CARR 31 KM 2.5
FARMACIA NUEVA,(787) 898-3690,18.484,-66.8443,16 CALLE MUNOZ RIVERA
COLMADO NEGRON,(787) 873-6880,18.077,-66.9603,CALLE ANGEL GREGORIO MARTINEZ # 6
FARMACIA VICARIO,(787) 856-1044,18.0357,-66.8492,C/MATTEI LLUBERAS#44
COLMADO EL SUBE Y BAJA,(787) 735-9699,18.1857,-65.8134,CARR. 725 KM 3.8 BARRIO LLANOS
COLMADO EL CASTILLO,(787) 833-4381,18.2003,-67.1523,135 AVE GONZALEZ CLEMENTE
FARMACIA NUEVA,(787) 877-6890,18.394,-67.1087,509 CALLE CONCEPCION VERA CTR. COM. MOCA
COLMADO WINDY INC.,(787) 743-1324,18.2593,-66.0403,RES BAIROA CE 8 AVE AMERICA
FARMACIA BALDORIOTY INC.,(787) 825-2555,18.0809,-66.3591,27 CALLE BALDORIOTY
FARMACIA SAN PEDRO,(787) 720-2196,18.3572,-66.1111,7 CALLE  MUNOZ RIVERA
PANADERIA DAISY,(787) 851-8576,18.0281,-67.1379,CARR  101 KM 15 HM 5
SUPER FARMACIA TRIPLE R INC.,(787) 855-6033,18.4461,-66.4051,CARR 2 KM  40.2 BO  ALGARROBO
FARMACIA DEL  CARMEN,(787) 739-2151,18.1759,-66.1596,53 CALLE JOSE DE DIEGO
SUPERMERCADO SUPER ECO,(787) 832-3048,18.2009,-67.1522,129 AVE JOSE GONZALEZ CLEMENTE
